"","Team","Team.Score","Opponent.Score","Team.Score.Mean","Opponent.Score.Mean","Team.Score.Var","Opponent.Score.Var","Loss","Win","WinRatio","Matches"
"609","St Joseph's PA",6216,6051,66.8387096774194,65.0645161290323,120.767180925666,139.821879382889,39,54,0.580645161290323,93
"610","St Katherine",549,1066,49.9090909090909,96.9090909090909,113.290909090909,298.490909090909,11,0,0,11
"611","St Louis",6218,5832,66.1489361702128,62.0425531914894,97.396934339968,108.664836421871,33,61,0.648936170212766,94
"612","St Martin's",57,73,57,73,0,0,1,0,0,1
"613","St Mary's CA",6730,5975,72.3655913978495,64.247311827957,142.843151005143,95.4490416082281,25,68,0.731182795698925,93
"614","Stony Brook",6537,5876,68.09375,61.2083333333333,104.801644736842,146.90350877193,28,68,0.708333333333333,96
"615","St Peter's",5783,6008,61.5212765957447,63.9148936170213,68.7468542667582,75.7131091283459,55,39,0.414893617021277,94
"616","St Rose",38,84,38,84,0,0,1,0,0,1
"617","St Thomas TX",121,141,60.5,70.5,0.5,4.5,2,0,0,2
"618","St Xavier IL",76,87,76,87,0,0,1,0,0,1
"619","Suffolk",70,94,70,94,0,0,1,0,0,1
"620","Susquehanna",66,91,66,91,0,0,1,0,0,1
"621","S Vermont",41,86,41,86,0,0,1,0,0,1
"622","S Virginia",48,101,48,101,0,0,1,0,0,1
"623","SW Adventist",57,124,57,124,0,0,1,0,0,1
"624","SW Christian",79,109,79,109,0,0,1,0,0,1
"625","SW Minnesota",62,83,62,83,0,0,1,0,0,1
"626","SW Oklahoma",55,109,55,109,0,0,1,0,0,1
"627","SW Univ TX",61,80,61,80,0,0,1,0,0,1
"628","Syracuse",6518,5717,69.3404255319149,60.8191489361702,162.678563257836,135.311027224891,26,68,0.723404255319149,94
"629","Tabor",53,94,53,94,0,0,1,0,0,1
"630","TAM C. Christi",6020,6119,65.4347826086957,66.5108695652174,124.006688963211,122.31856187291,51,41,0.445652173913043,92
"631","Tampa",72,97,72,97,0,0,1,0,0,1
"632","Taylor IN",53,73,53,73,0,0,1,0,0,1
"633","TCU",5851,6190,62.2446808510638,65.8510638297872,158.595401509952,169.461450469,57,37,0.393617021276596,94
"634","Temple",6684,6521,70.3578947368421,68.6421052631579,136.827995520717,169.25352743561,40,55,0.578947368421053,95
"635","Tennessee",6384,5975,67.2,62.8947368421053,149.459574468085,117.669652855543,39,56,0.589473684210526,95
"636","Tennessee St",5810,6351,65.2808988764045,71.3595505617977,193.454290091931,126.391981613892,64,25,0.280898876404494,89
"637","Tennessee Tech",6305,6401,69.2857142857143,70.3406593406593,176.806349206349,139.382661782662,51,40,0.43956043956044,91
"638","Texas",6653,6254,69.3020833333333,65.1458333333333,134.107785087719,186.083771929825,38,58,0.604166666666667,96
"639","Texas A&M",6150,5885,65.4255319148936,62.6063829787234,152.913749714024,82.7573781743308,40,54,0.574468085106383,94
"640","Texas A&M Intl",139,180,69.5,90,364.5,450,2,0,0,2
"641","Texas Col",39,88,39,88,0,0,1,0,0,1
"642","Texas St",5915,6195,64.2934782608696,67.3369565217391,144.649187768753,154.269827998089,61,31,0.33695652173913,92
"643","Texas Tech",6031,6345,64.8494623655914,68.2258064516129,193.042309490416,129.524544179523,56,37,0.397849462365591,93
"644","The Master's",97,172,48.5,86,24.5,50,2,0,0,2
"645","Thiel",103,152,51.5,76,84.5,72,2,0,0,2
"646","Thomas Aquinas",104,179,52,89.5,18,760.5,2,0,0,2
"647","Thomas GA",309,436,61.8,87.2,66.2,24.7,5,0,0,5
"648","Thomas ME",36,84,36,84,0,0,1,0,0,1
"649","Tiffin",56,85,56,85,0,0,1,0,0,1
"650","TN Martin",6160,6580,70,74.7727272727273,139.931034482759,164.131661442006,55,33,0.375,88
"651","TN Temple",170,290,56.6666666666667,96.6666666666667,32.3333333333333,462.333333333333,3,0,0,3
"652","Toccoa Falls",285,424,57,84.8,179,316.7,5,0,0,5
"653","Toledo",7046,6678,74.9574468085106,71.0425531914894,130.965911690689,127.008922443377,32,62,0.659574468085106,94
"654","Tougaloo",149,162,74.5,81,84.5,128,2,0,0,2
"655","Towson",6494,6361,68.3578947368421,66.9578947368421,171.849272116461,117.679059350504,43,52,0.547368421052632,95
"656","Transylvania",63,74,63,74,0,0,1,0,0,1
"657","Trevecca Naz",132,179,66,89.5,200,84.5,2,0,0,2
"658","Trinity Bap",431,635,61.5714285714286,90.7142857142857,185.619047619048,182.238095238095,7,0,0,7
"659","Trinity Chr",52,75,52,75,0,0,1,0,0,1
"660","Trinity FL",173,275,57.6666666666667,91.6666666666667,105.333333333333,36.3333333333333,3,0,0,3
"661","Trinity IL",54,79,54,79,0,0,1,0,0,1
"662","Trinity TX",62,74,62,74,0,0,1,0,0,1
"663","Troy",5969,6240,65.5934065934066,68.5714285714286,136.132844932845,106.95873015873,59,32,0.351648351648352,91
"664","Truett-McConnell",166,247,55.3333333333333,82.3333333333333,2.33333333333333,74.3333333333333,3,0,0,3
"665","Truman St",137,158,68.5,79,0.5,2,2,0,0,2
"666","Tulane",6159,6232,65.5212765957447,66.2978723404255,183.28448867536,155.566231983528,45,49,0.521276595744681,94
"667","Tulsa",6394,6103,68.0212765957447,64.9255319148936,144.365133836651,189.295470144132,36,58,0.617021276595745,94
"668","Tusculum",230,374,57.5,93.5,416.333333333333,161,4,0,0,4
"669","Tuskegee",64,66,64,66,0,0,1,0,0,1
"670","TX A&M K'ville",77,82,77,82,0,0,1,0,0,1
"671","TX Lutheran",31,72,31,72,0,0,1,0,0,1
"672","TX Pan American",5737,6287,63.7444444444444,69.8555555555556,161.832833957553,117.360923845194,59,31,0.344444444444444,90
"673","TX Southern",7012,6743,71.5510204081633,68.8061224489796,166.414895855249,159.106353881759,40,58,0.591836734693878,98
"674","UAB",6740,6640,70.9473684210526,69.8947368421053,120.539753639418,138.818589025756,44,51,0.536842105263158,95
"675","UC Davis",6542,6574,71.1086956521739,71.4565217391304,107.152890587673,143.349737219302,44,48,0.521739130434783,92
"676","UCF",6273,6401,69.7,71.1222222222222,181.695505617978,147.321972534332,47,43,0.477777777777778,90
"677","UC Irvine",6667,6207,68.7319587628866,63.9896907216495,122.073238831615,147.072809278351,37,60,0.618556701030928,97
"678","UCLA",7484,6778,76.3673469387755,69.1632653061225,203.306964022722,84.6947191247633,29,69,0.704081632653061,98
"679","UC Merced",97,201,48.5,100.5,60.5,24.5,2,0,0,2
"680","UC Riverside",5726,6122,63.6222222222222,68.0222222222222,206.057927590512,138.583770287141,62,28,0.311111111111111,90
"681","UC San Diego",52,75,52,75,0,0,1,0,0,1
"682","UC Santa Cruz",43,73,43,73,0,0,1,0,0,1
"683","ULL",7440,7063,76.701030927835,72.8144329896907,199.315936426117,156.194372852234,44,53,0.54639175257732,97
"684","ULM",5420,5706,63.0232558139535,66.3488372093023,189.246511627907,111.123939808482,51,35,0.406976744186047,86
"685","UMBC",3650,4198,60.8333333333333,69.9666666666667,129.395480225989,114.710734463277,47,13,0.216666666666667,60
"686","UNC Asheville",6706,6561,73.6923076923077,72.0989010989011,123.793162393162,154.423443223443,46,45,0.494505494505495,91
"687","UNC Greensboro",6464,6735,70.2608695652174,73.2065217391304,138.56856187291,133.770066889632,61,31,0.33695652173913,92
"688","UNC Wilmington",6023,6398,65.4673913043478,69.5434782608696,156.383540372671,161.899187768753,56,36,0.391304347826087,92
"689","Univ of Southwest",51,111,51,111,0,0,1,0,0,1
"690","Univ Sciences",54,52,54,52,0,0,0,1,1,1
"691","UNLV",6816,6267,70.2680412371134,64.6082474226804,131.531572164948,121.719931271478,36,61,0.628865979381443,97
"692","Urbana",110,158,55,79,18,8,2,0,0,2
"693","Ursinus",51,79,51,79,0,0,1,0,0,1
"694","USC",6436,6775,67.7473684210526,71.3157894736842,106.807838745801,155.686450167973,58,37,0.389473684210526,95
"695","Utah",6476,5676,70.3913043478261,61.695652173913,213.471571906355,110.433827042523,36,56,0.608695652173913,92
"696","Utah St",6249,5936,67.9239130434783,64.5217391304348,121.719421882465,114.559961777353,36,56,0.608695652173913,92
"697","Utah Valley",5599,5803,63.625,65.9431818181818,185.501436781609,121.640412748171,47,41,0.465909090909091,88
"698","UT Arlington",6501,6487,70.6630434782609,70.5108695652174,177.302795031056,209.571309125657,44,48,0.521739130434783,92
"699","UTEP",6402,5930,67.3894736842105,62.4210526315789,108.04882418813,111.756998880179,33,62,0.652631578947368,95
"700","UT San Antonio",6041,6453,67.876404494382,72.5056179775281,125.882277834525,139.911899897855,59,30,0.337078651685393,89
"701","UT Tyler",167,252,55.6666666666667,84,58.3333333333333,91,3,0,0,3
"702","UVA-Wise",115,199,57.5,99.5,144.5,264.5,2,0,0,2
"703","VA Commonwealth",7506,6498,75.06,64.98,141.531717171717,98.5248484848485,24,76,0.76,100
"704","VA Intermont",181,259,60.3333333333333,86.3333333333333,4.33333333333333,72.3333333333333,3,0,0,3
"705","Valley City St",43,86,43,86,0,0,1,0,0,1
"706","Valparaiso",6912,6130,71.2577319587629,63.1958762886598,187.359965635739,156.034149484536,27,70,0.721649484536082,97
"707","VA-Lynchburg",184,313,61.3333333333333,104.333333333333,212.333333333333,114.333333333333,3,0,0,3
"708","Vanderbilt",6032,5865,64.8602150537634,63.0645161290323,137.165030388032,109.582748948107,45,48,0.516129032258065,93
"709","Vanguard",131,152,65.5,76,112.5,72,2,0,0,2
"710","Vermont",6164,5436,67,59.0869565217391,133.824175824176,161.354992833254,33,59,0.641304347826087,92
"711","Villanova",7143,6152,74.40625,64.0833333333333,141.780592105263,127.740350877193,18,78,0.8125,96
"712","Virginia",6326,5193,65.2164948453608,53.5360824742268,109.129725085911,147.251288659794,19,78,0.804123711340206,97
"713","Virginia Tech",6291,6679,66.2210526315789,70.3052631578947,172.237849944009,134.256886898096,62,33,0.347368421052632,95
"714","Virginia Union",84,92,84,92,0,0,1,0,0,1
"715","Viterbo",49,93,49,93,0,0,1,0,0,1
"716","VMI",7073,7017,81.2988505747126,80.6551724137931,298.863138198343,198.740176423416,47,40,0.459770114942529,87
"717","Voorhees",74,88,74,88,0,0,1,0,0,1
"718","Wagner",6405,6407,69.6195652173913,69.6413043478261,160.831700907788,183.397396082179,44,48,0.521739130434783,92
"719","Wake Forest",6540,6751,68.8421052631579,71.0631578947368,126.751399776036,140.804479283315,52,43,0.452631578947368,95
"720","Waldorf",109,185,54.5,92.5,264.5,112.5,2,0,0,2
"721","Walla Walla",223,466,44.6,93.2,71.8,107.7,5,0,0,5
"722","Warner",96,155,48,77.5,2,24.5,2,0,0,2
"723","Warren Wilson",292,572,48.6666666666667,95.3333333333333,48.6666666666667,135.066666666667,6,0,0,6
"724","Washington",6601,6548,70.2234042553192,69.6595744680851,133.487188286433,154.162434225578,44,50,0.531914893617021,94
"725","Washington MD",152,283,50.6666666666667,94.3333333333333,17.3333333333333,922.333333333333,3,0,0,3
"726","Washington St",6222,6405,66.9032258064516,68.8709677419355,197.153576437588,152.309256661992,56,37,0.397849462365591,93
"727","Wash & Lee",64,114,64,114,0,0,1,0,0,1
"728","Wayland",220,244,73.3333333333333,81.3333333333333,82.3333333333333,42.3333333333333,3,0,0,3
"729","Wayne St NE",180,250,60,83.3333333333333,61,54.3333333333333,3,0,0,3
"730","W Carolina",6744,6792,70.9894736842105,71.4947368421053,143.202015677492,150.061142217245,50,45,0.473684210526316,95
"731","Webber",119,188,59.5,94,40.5,450,2,0,0,2
"732","Weber St",6182,5706,71.0574712643678,65.5862068965517,121.589681903234,103.291900561347,33,54,0.620689655172414,87
"733","Wentworth Tech",46,69,46,69,0,0,1,0,0,1
"734","West Alabama",270,284,67.5,71,389.666666666667,24,2,2,0.5,4
"735","Western St CO",211,314,52.75,78.5,32.9166666666667,256.333333333333,4,0,0,4
"736","Westminster PA",57,108,57,108,0,0,1,0,0,1
"737","Westminster UT",66,73,66,73,0,0,1,0,0,1
"738","West Virginia",6894,6591,72.5684210526316,69.3789473684211,145.056438969765,132.280403135498,42,53,0.557894736842105,95
"739","Wheelock",91,206,45.5,103,0.5,98,2,0,0,2
"740","Wichita St",6958,5698,71.7319587628866,58.7422680412371,97.9899054982818,100.755798969072,11,86,0.88659793814433,97
"741","WI Green Bay",6465,5817,69.5161290322581,62.5483870967742,128.143758765778,123.228611500701,29,64,0.688172043010753,93
"742","Wilberforce",71,92,71,92,0,0,1,0,0,1
"743","Wiley",96,113,96,113,0,0,1,0,0,1
"744","Willamette",63,84,63,84,0,0,1,0,0,1
"745","William & Mary",6602,6346,71.7608695652174,68.9782608695652,141.942188246536,129.010511227903,40,52,0.565217391304348,92
"746","W Illinois",5100,5250,60.7142857142857,62.5,126.134251290878,142.253012048193,47,37,0.44047619047619,84
"747","Wilmington DE",65,62,65,62,0,0,0,1,1,1
"748","Wilmington OH",65,63,65,63,0,0,0,1,1,1
"749","WI Milwaukee",6211,6611,66.0744680851064,70.3297872340426,139.187943262411,113.105124685427,53,41,0.436170212765957,94
"750","Wingate",61,80,61,80,0,0,1,0,0,1
"751","Winthrop",6334,6162,69.6043956043956,67.7142857142857,164.708424908425,128.873015873016,42,49,0.538461538461538,91
"752","WI Parkside",81,90,81,90,0,0,1,0,0,1
"753","Wisconsin",6920,5775,70.6122448979592,58.9285714285714,146.054281506417,131.634020618557,20,78,0.795918367346939,98
"754","Wittenberg",55,77,55,77,0,0,1,0,0,1
"755","W Kentucky",6500,6327,69.1489361702128,67.3085106382979,132.902310684054,105.075840768703,39,55,0.585106382978723,94
"756","Wm Carey",170,261,56.6666666666667,87,30.3333333333333,133,3,0,0,3
"757","W Michigan",6592,6294,70.1276595744681,66.9574468085106,166.886753603294,125.589567604667,33,61,0.648936170212766,94
"758","Wm Jessup",100,169,50,84.5,32,0.5,2,0,0,2
"759","Wm Jewell",44,84,44,84,0,0,1,0,0,1
"760","W New Mexico",85,153,42.5,76.5,4.5,420.5,2,0,0,2
"761","Wofford",6170,5806,64.2708333333333,60.4791666666667,144.346929824561,98.4837719298246,36,60,0.625,96
"762","Wright St",6082,5923,64.7021276595745,63.0106382978723,104.68451155342,151.128917867765,45,49,0.521276595744681,94
"763","WV Tech",145,182,72.5,91,112.5,32,2,0,0,2
"764","WV Wesleyan",60,80,60,80,0,0,1,0,0,1
"765","Wyoming",5857,5511,62.3085106382979,58.6276595744681,112.968313886982,106.193205216198,35,59,0.627659574468085,94
"766","Xavier",6848,6420,70.5979381443299,66.1855670103093,142.034579037801,126.444372852234,38,59,0.608247422680412,97
"767","Yale",5892,5737,66.2022471910112,64.4606741573034,157.026813074566,100.274004085802,40,49,0.550561797752809,89
"768","Young Harris",135,165,67.5,82.5,364.5,264.5,2,0,0,2
"769","Youngstown St",6677,6737,72.5760869565217,73.2282608695652,132.422718585762,138.002269469661,52,40,0.434782608695652,92
