"","Team","Team.Score","Opponent.Score","Team.Score.Mean","Opponent.Score.Mean","Team.Score.Var","Opponent.Score.Var","Loss","Win","WinRatio","Matches"
"175","Drexel",5750,5846,63.8888888888889,64.9555555555555,125.380774032459,151.548564294632,50,40,0.444444444444444,90
"176","Duke",7765,6455,79.234693877551,65.8673469387755,118.53197980223,139.14717020829,16,82,0.836734693877551,98
"177","Duquesne",6441,6783,70.7802197802198,74.5384615384615,155.75115995116,121.606837606838,58,33,0.362637362637363,91
"178","Earlham",94,218,47,109,8,98,2,0,0,2
"179","East Carolina",6411,6390,70.4505494505494,70.2197802197802,185.516971916972,144.75115995116,46,45,0.494505494505495,91
"180","Eastern Oregon",152,181,76,90.5,242,364.5,2,0,0,2
"181","Eastern Univ",79,84,79,84,0,0,1,0,0,1
"182","Ecclesia",124,219,62,109.5,450,264.5,2,0,0,2
"183","Eckerd",114,148,57,74,8,8,2,0,0,2
"184","Edwardsville",5714,5952,68.0238095238095,70.8571428571429,180.577739529547,173.497418244406,54,30,0.357142857142857,84
"185","Edward Waters",263,366,65.75,91.5,12.9166666666667,153.666666666667,4,0,0,4
"186","E Illinois",5771,6086,63.4175824175824,66.8791208791209,147.490354090354,145.485225885226,52,39,0.428571428571429,91
"187","E Kentucky",6867,6139,74.6413043478261,66.7282608695652,152.540253225036,135.386884854276,28,64,0.695652173913043,92
"188","Elmhurst",49,83,49,83,0,0,1,0,0,1
"189","Elon",6634,6456,71.3333333333333,69.4193548387097,187.550724637681,97.9852734922861,42,51,0.548387096774194,93
"190","Emerson",50,83,50,83,0,0,1,0,0,1
"191","E Michigan",6211,5998,64.0309278350515,61.8350515463918,148.863616838488,177.889175257732,44,53,0.54639175257732,97
"192","Emory & Henry",58,83,58,83,0,0,1,0,0,1
"193","Emporia St",131,169,65.5,84.5,480.5,144.5,1,1,0.5,2
"194","Erskine",50,92,50,92,0,0,1,0,0,1
"195","ETSU",6588,6825,70.8387096774194,73.3870967741936,220.984572230014,139.370266479663,50,43,0.462365591397849,93
"196","Eureka",141,240,47,80,61,1,3,0,0,3
"197","Evansville",6463,6332,68.7553191489362,67.3617021276596,193.520132692748,139.201098146877,44,50,0.531914893617021,94
"198","Evergreen St",230,425,57.5,106.25,87,210.916666666667,4,0,0,4
"199","E Washington",7254,7143,75.5625,74.40625,156.417105263158,138.770065789474,45,51,0.53125,96
"200","Fairfield",5787,6130,61.563829787234,65.2127659574468,100.33459162663,144.599405170442,63,31,0.329787234042553,94
"201","Fayetteville St",78,96,78,96,0,0,1,0,0,1
"202","F Dickinson",6147,6936,67.5494505494506,76.2197802197802,139.583638583639,134.084493284493,66,25,0.274725274725275,91
"203","FDU Madison",61,102,61,102,0,0,1,0,0,1
"204","Ferris St",82,68,82,68,0,0,0,1,1,1
"205","Ferrum",112,200,56,100,128,72,2,0,0,2
"206","Fisher",201,306,67,102,9,63,3,0,0,3
"207","Fisk",210,298,70,99.3333333333333,175,456.333333333333,3,0,0,3
"208","Flagler",61,75,61,75,0,0,1,0,0,1
"209","FL Atlantic",5865,6159,64.4505494505494,67.6813186813187,101.228083028083,111.086202686203,59,32,0.351648351648352,91
"210","FL Gulf Coast",6776,6324,70.5833333333333,65.875,116.814035087719,156.3,32,64,0.666666666666667,96
"211","FL Memorial",130,174,65,87,578,338,2,0,0,2
"212","Florida",6666,5549,68.7216494845361,57.2061855670103,82.9946305841924,113.95704467354,25,72,0.742268041237113,97
"213","Florida A&M",5653,6527,63.5168539325843,73.3370786516854,182.366189989785,131.339632277835,67,22,0.247191011235955,89
"214","Florida Col",153,250,51,83.3333333333333,333,344.333333333333,3,0,0,3
"215","Florida Intl",6205,6356,66.7204301075269,68.3440860215054,109.007947639084,137.423796166433,46,47,0.505376344086022,93
"216","Florida National",178,247,59.3333333333333,82.3333333333333,4.33333333333333,80.3333333333333,3,0,0,3
"217","Florida St",6529,6425,68.0104166666667,66.9270833333333,165.063048245614,95.563048245614,43,53,0.552083333333333,96
"218","Florida Tech",119,154,59.5,77,4.5,0,2,0,0,2
"219","Fordham",6236,6916,67.0537634408602,74.3655913978495,108.89925198691,120.995324918186,66,27,0.290322580645161,93
"220","Fort Valley St",243,315,60.75,78.75,62.9166666666667,4.91666666666667,4,0,0,4
"221","Franklin Pierce",138,203,69,101.5,288,112.5,2,0,0,2
"222","Fresno Pacific",46,81,46,81,0,0,1,0,0,1
"223","Fresno St",6069,6128,65.9673913043478,66.6086956521739,162.932990922121,166.438604873387,51,41,0.445652173913043,92
"224","Furman",5641,6372,62.6777777777778,70.8,151.546691635456,128.251685393258,66,24,0.266666666666667,90
"225","Gardner Webb",6770,6541,71.2631578947368,68.8526315789474,151.940649496081,156.616349384099,40,55,0.578947368421053,95
"226","Ga Southern",6173,6084,66.3763440860215,65.4193548387097,160.93291257597,149.05049088359,46,47,0.505376344086022,93
"227","George Mason",6159,6321,66.945652173913,68.7065217391304,100.337673196369,128.693143812709,55,37,0.402173913043478,92
"228","Georgetown",6254,5720,68.7252747252747,62.8571428571429,135.090354090354,141.834920634921,29,62,0.681318681318681,91
"229","Georgia",6279,6093,66.0947368421053,64.1368421052632,119.703695408735,132.842777155655,40,55,0.578947368421053,95
"230","Georgia St",6980,6319,72.7083333333333,65.8229166666667,155.050877192982,178.378837719298,32,64,0.666666666666667,96
"231","Georgia Tech",6091,6055,64.7978723404255,64.4148936170213,110.958705101807,126.223861816518,50,44,0.468085106382979,94
"232","Goldey Beacom",50,103,50,103,0,0,1,0,0,1
"233","Gonzaga",7632,6087,77.8775510204082,62.1122448979592,137.345676414896,124.203766042499,10,88,0.897959183673469,98
"234","Goshen",55,82,55,82,0,0,1,0,0,1
"235","Goucher",204,390,51,97.5,56.6666666666667,8.33333333333333,4,0,0,4
"236","Grace Bib",43,77,43,77,0,0,1,0,0,1
"237","Graceland",85,112,85,112,0,0,1,0,0,1
