Date,Team,Opponent,Team Score,Opponent Score,Team Result
07-02-2013,Loyola-Chicago,Youngstown St,59,60,Loss
06-02-2013,Arizona,Stanford,73,66,Win
06-02-2013,Stanford,Arizona,66,73,Loss
06-02-2013,Auburn,Alabama,49,37,Win
06-02-2013,Alabama,Auburn,37,49,Loss
06-02-2013,Ohio,Ball St,69,42,Win
06-02-2013,Ball St,Ohio,42,69,Loss
06-02-2013,Hartford,Binghamton,76,62,Win
06-02-2013,Binghamton,Hartford,62,76,Loss
06-02-2013,Butler,St Bonaventure,77,58,Win
06-02-2013,St Bonaventure,Butler,58,77,Loss
06-02-2013,High Point,Campbell,58,52,Win
06-02-2013,Campbell,High Point,52,58,Loss
06-02-2013,Coastal Car,Charleston So,73,53,Win
06-02-2013,Charleston So,Coastal Car,53,73,Loss
06-02-2013,NJIT,Colgate,77,58,Win
06-02-2013,Colgate,NJIT,58,77,Loss
06-02-2013,Wyoming,CS Bakersfield,61,53,Win
06-02-2013,CS Bakersfield,Wyoming,53,61,Loss
06-02-2013,Dayton,St Joseph's PA,60,54,Win
06-02-2013,St Joseph's PA,Dayton,54,60,Loss
06-02-2013,Illinois St,Drake,94,86,Win
06-02-2013,Drake,Illinois St,86,94,Loss
06-02-2013,G Washington,Duquesne,79,57,Win
06-02-2013,Duquesne,G Washington,57,79,Loss
06-02-2013,E Michigan,Buffalo,65,46,Win
06-02-2013,Buffalo,E Michigan,46,65,Loss
06-02-2013,St Louis,Fordham,90,73,Win
06-02-2013,Fordham,St Louis,73,90,Loss
06-02-2013,Fresno St,UNLV,64,55,Win
06-02-2013,UNLV,Fresno St,55,64,Loss
06-02-2013,Northeastern,Hofstra,62,57,Win
06-02-2013,Hofstra,Northeastern,57,62,Loss
06-02-2013,Houston Bap,Missouri KC,66,45,Win
06-02-2013,Missouri KC,Houston Bap,45,66,Loss
06-02-2013,Indiana St,Creighton,76,57,Win
06-02-2013,Creighton,Indiana St,57,76,Loss
06-02-2013,James Madison,William & Mary,81,71,Win
06-02-2013,William & Mary,James Madison,71,81,Loss
06-02-2013,VMI,Longwood,93,60,Win
06-02-2013,Longwood,VMI,60,93,Loss
06-02-2013,LSU,Vanderbilt,57,56,Win
06-02-2013,Vanderbilt,LSU,56,57,Loss
06-02-2013,Massachusetts,Rhode Island,81,53,Win
06-02-2013,Rhode Island,Massachusetts,53,81,Loss
06-02-2013,Albany NY,MD Baltimore Co,79,56,Win
06-02-2013,MD Baltimore Co,Albany NY,56,79,Loss
06-02-2013,Michigan St,Minnesota,61,50,Win
06-02-2013,Minnesota,Michigan St,50,61,Loss
06-02-2013,Mississippi,Mississippi St,93,75,Win
06-02-2013,Mississippi St,Mississippi,75,93,Loss
06-02-2013,Bowling Green,N Illinois,57,41,Win
06-02-2013,N Illinois,Bowling Green,41,57,Loss
06-02-2013,Colorado St,Nevada,73,69,Win
06-02-2013,Nevada,Colorado St,69,73,Loss
06-02-2013,New Mexico,Air Force,81,58,Win
06-02-2013,Air Force,New Mexico,58,81,Loss
06-02-2013,New Orleans,TX Pan American,75,73,Win
06-02-2013,TX Pan American,New Orleans,73,75,Loss
06-02-2013,Oklahoma St,Baylor,69,67,Win
06-02-2013,Baylor,Oklahoma St,67,69,Loss
06-02-2013,Oregon St,Utah,82,64,Win
06-02-2013,Utah,Oregon St,64,82,Loss
06-02-2013,Presbyterian,Gardner Webb,57,54,Win
06-02-2013,Gardner Webb,Presbyterian,54,57,Loss
06-02-2013,Providence,Cincinnati,54,50,Win
06-02-2013,Cincinnati,Providence,50,54,Loss
06-02-2013,Robert Morris,St Francis PA,60,48,Win
06-02-2013,St Francis PA,Robert Morris,48,60,Loss
06-02-2013,Louisville,Rutgers,68,48,Win
06-02-2013,Rutgers,Louisville,48,68,Loss
06-02-2013,San Diego St,Boise St,63,62,Win
06-02-2013,Boise St,San Diego St,62,63,Loss
06-02-2013,Memphis,SMU,60,52,Win
06-02-2013,SMU,Memphis,52,60,Loss
06-02-2013,Marquette,South Florida,70,47,Win
06-02-2013,South Florida,Marquette,47,70,Loss
06-02-2013,St John's,Connecticut,71,65,Win
06-02-2013,Connecticut,St John's,65,71,Loss
06-02-2013,TCU,Kansas,62,55,Win
06-02-2013,Kansas,TCU,55,62,Loss
06-02-2013,Temple,Charlotte,89,88,Win
06-02-2013,Charlotte,Temple,88,89,Loss
06-02-2013,Georgia,Tennessee,68,62,Win
06-02-2013,Tennessee,Georgia,62,68,Loss
06-02-2013,Toledo,Miami OH,65,64,Win
06-02-2013,Miami OH,Toledo,64,65,Loss
06-02-2013,Towson,Delaware,85,65,Win
06-02-2013,Delaware,Towson,65,85,Loss
06-02-2013,Tulane,Marshall,91,75,Win
06-02-2013,Marshall,Tulane,75,91,Loss
06-02-2013,UAB,Tulsa,70,63,Win
06-02-2013,Tulsa,UAB,63,70,Loss
06-02-2013,UCF,Southern Miss,60,58,Win
06-02-2013,Southern Miss,UCF,58,60,Loss
06-02-2013,UNC Asheville,Winthrop,69,56,Win
06-02-2013,Winthrop,UNC Asheville,56,69,Loss
06-02-2013,UNC Wilmington,Georgia St,76,72,Win
06-02-2013,Georgia St,UNC Wilmington,72,76,Loss
06-02-2013,UTEP,Rice,65,53,Win
06-02-2013,Rice,UTEP,53,65,Loss
06-02-2013,Vermont,New Hampshire,63,48,Win
06-02-2013,New Hampshire,Vermont,48,63,Loss
06-02-2013,W Michigan,Kent,82,76,Win
06-02-2013,Kent,W Michigan,76,82,Loss
06-02-2013,Wagner,Mt St Mary's,74,65,Win
06-02-2013,Mt St Mary's,Wagner,65,74,Loss
06-02-2013,Wisconsin,Iowa,74,70,Win
06-02-2013,Iowa,Wisconsin,70,74,Loss
05-02-2013,Akron,C Michigan,68,56,Win
05-02-2013,C Michigan,Akron,56,68,Loss
05-02-2013,Arkansas,Florida,80,69,Win
05-02-2013,Florida,Arkansas,69,80,Loss
05-02-2013,Boston Univ,Maine,79,72,Win
05-02-2013,Maine,Boston Univ,72,79,Loss
05-02-2013,Bradley,Evansville,76,70,Win
05-02-2013,Evansville,Bradley,70,76,Loss
05-02-2013,Cleveland St,Youngstown St,66,60,Win
05-02-2013,Youngstown St,Cleveland St,60,66,Loss
05-02-2013,Villanova,DePaul,94,71,Win
05-02-2013,DePaul,Villanova,71,94,Loss
05-02-2013,Florida St,Georgia Tech,56,54,Win
05-02-2013,Georgia Tech,Florida St,54,56,Loss
05-02-2013,Kentucky,South Carolina,77,55,Win
05-02-2013,South Carolina,Kentucky,55,77,Loss
05-02-2013,Liberty,Radford,75,70,Win
05-02-2013,Radford,Liberty,70,75,Loss
05-02-2013,Miami FL,Boston College,72,50,Win
05-02-2013,Boston College,Miami FL,50,72,Loss
05-02-2013,Michigan,Ohio St,76,74,Win
05-02-2013,Ohio St,Michigan,74,76,Loss
05-02-2013,North Carolina,Wake Forest,87,62,Win
05-02-2013,Wake Forest,North Carolina,62,87,Loss
05-02-2013,Northern Iowa,Missouri St,48,37,Win
05-02-2013,Missouri St,Northern Iowa,37,48,Loss
05-02-2013,Purdue,Penn St,58,49,Win
05-02-2013,Penn St,Purdue,49,58,Loss
05-02-2013,S Illinois,Wichita St,64,62,Win
05-02-2013,Wichita St,S Illinois,62,64,Loss
05-02-2013,Kansas St,Texas Tech,68,59,Win
05-02-2013,Texas Tech,Kansas St,59,68,Loss
05-02-2013,Valparaiso,IL Chicago,86,61,Win
05-02-2013,IL Chicago,Valparaiso,61,86,Loss
04-02-2013,Ark Pine Bluff,Alabama A&M,76,67,Win
04-02-2013,Alabama A&M,Ark Pine Bluff,67,76,Loss
04-02-2013,Alabama St,MS Valley St,73,65,Win
04-02-2013,MS Valley St,Alabama St,65,73,Loss
04-02-2013,Alcorn St,Grambling,78,53,Win
04-02-2013,Grambling,Alcorn St,53,78,Loss
04-02-2013,Hampton,Coppin St,59,53,Win
04-02-2013,Coppin St,Hampton,53,59,Loss
04-02-2013,Northern Arizona,CS Sacramento,62,61,Win
04-02-2013,CS Sacramento,Northern Arizona,61,62,Loss
04-02-2013,Delaware St,NC A&T,53,44,Win
04-02-2013,NC A&T,Delaware St,44,53,Loss
04-02-2013,Howard,S Carolina St,57,45,Win
04-02-2013,S Carolina St,Howard,45,57,Loss
04-02-2013,Iowa St,Oklahoma,83,64,Win
04-02-2013,Oklahoma,Iowa St,64,83,Loss
04-02-2013,San Diego,Loy Marymount,69,68,Win
04-02-2013,Loy Marymount,San Diego,68,69,Loss
04-02-2013,NC Central,MD E Shore,82,54,Win
04-02-2013,MD E Shore,NC Central,54,82,Loss
04-02-2013,Norfolk St,Morgan St,64,59,Win
04-02-2013,Morgan St,Norfolk St,59,64,Loss
04-02-2013,George Mason,Old Dominion,85,74,Win
04-02-2013,Old Dominion,George Mason,74,85,Loss
04-02-2013,Pittsburgh,Seton Hall,56,46,Win
04-02-2013,Seton Hall,Pittsburgh,46,56,Loss
04-02-2013,Fairfield,Siena,64,54,Win
04-02-2013,Siena,Fairfield,54,64,Loss
04-02-2013,Southern Univ,Jackson St,78,58,Win
04-02-2013,Jackson St,Southern Univ,58,78,Loss
04-02-2013,Syracuse,Notre Dame,63,47,Win
04-02-2013,Notre Dame,Syracuse,47,63,Loss
04-02-2013,Towson,UNC Wilmington,81,68,Win
04-02-2013,UNC Wilmington,Towson,68,81,Loss
04-02-2013,West Virginia,Texas,60,58,Win
04-02-2013,Texas,West Virginia,58,60,Loss
04-02-2013,Wright St,Loyola-Chicago,62,59,Win
04-02-2013,Loyola-Chicago,Wright St,59,62,Loss
03-02-2013,Lehigh,Army,85,76,Win
03-02-2013,Army,Lehigh,76,85,Loss
03-02-2013,Connecticut,South Florida,69,64,Win
03-02-2013,South Florida,Connecticut,64,69,Loss
03-02-2013,Georgia Tech,Virginia,66,60,Win
03-02-2013,Virginia,Georgia Tech,60,66,Loss
03-02-2013,Wisconsin,Illinois,74,68,Win
03-02-2013,Illinois,Wisconsin,68,74,Loss
03-02-2013,Louisville,Marquette,70,51,Win
03-02-2013,Marquette,Louisville,51,70,Loss
03-02-2013,Manhattan,St Peter's,57,49,Win
03-02-2013,St Peter's,Manhattan,49,57,Loss
03-02-2013,Rider,Marist,64,58,Win
03-02-2013,Marist,Rider,58,64,Loss
03-02-2013,Northwestern LA,McNeese St,86,74,Win
03-02-2013,McNeese St,Northwestern LA,74,86,Loss
03-02-2013,Minnesota,Iowa,62,59,Win
03-02-2013,Iowa,Minnesota,59,62,Loss
03-02-2013,Stanford,Oregon St,81,73,Win
03-02-2013,Oregon St,Stanford,73,81,Loss
03-02-2013,Providence,Villanova,55,52,Win
03-02-2013,Villanova,Providence,52,55,Loss
02-02-2013,Air Force,San Diego St,70,67,Win
02-02-2013,San Diego St,Air Force,67,70,Loss
02-02-2013,Akron,Ohio,86,72,Win
02-02-2013,Ohio,Akron,72,86,Loss
02-02-2013,Alabama A&M,MS Valley St,65,64,Win
02-02-2013,MS Valley St,Alabama A&M,64,65,Loss
02-02-2013,Ark Pine Bluff,Alabama St,81,77,Win
02-02-2013,Alabama St,Ark Pine Bluff,77,81,Loss
02-02-2013,Albany NY,Binghamton,79,46,Win
02-02-2013,Binghamton,Albany NY,46,79,Loss
02-02-2013,Jackson St,Alcorn St,84,71,Win
02-02-2013,Alcorn St,Jackson St,71,84,Loss
02-02-2013,American Univ,Lafayette,68,64,Win
02-02-2013,Lafayette,American Univ,64,68,Loss
02-02-2013,Appalachian St,W Carolina,74,65,Win
02-02-2013,W Carolina,Appalachian St,65,74,Loss
02-02-2013,South Alabama,Ark Little Rock,70,66,Win
02-02-2013,Ark Little Rock,South Alabama,66,70,Loss
02-02-2013,Arkansas,Tennessee,73,60,Win
02-02-2013,Tennessee,Arkansas,60,73,Loss
02-02-2013,Arkansas St,North Texas,75,66,Win
02-02-2013,North Texas,Arkansas St,66,75,Loss
02-02-2013,Belmont,Tennessee Tech,74,52,Win
02-02-2013,Tennessee Tech,Belmont,52,74,Loss
02-02-2013,Bethune-Cookman,Florida A&M,67,65,Win
02-02-2013,Florida A&M,Bethune-Cookman,65,67,Loss
02-02-2013,Boise St,UNLV,77,72,Win
02-02-2013,UNLV,Boise St,72,77,Loss
02-02-2013,Boston College,Clemson,75,68,Win
02-02-2013,Clemson,Boston College,68,75,Loss
02-02-2013,Bowling Green,Ball St,70,59,Win
02-02-2013,Ball St,Bowling Green,59,70,Loss
02-02-2013,Bucknell,Navy,69,54,Win
02-02-2013,Navy,Bucknell,54,69,Loss
02-02-2013,Butler,Rhode Island,75,68,Win
02-02-2013,Rhode Island,Butler,68,75,Loss
02-02-2013,BYU,Santa Clara,96,79,Win
02-02-2013,Santa Clara,BYU,79,96,Loss
02-02-2013,Miami OH,C Michigan,70,61,Win
02-02-2013,C Michigan,Miami OH,61,70,Loss
02-02-2013,California,Oregon,58,54,Win
02-02-2013,Oregon,California,54,58,Loss
02-02-2013,UNC Asheville,Campbell,78,61,Win
02-02-2013,Campbell,UNC Asheville,61,78,Loss
02-02-2013,Canisius,Iona,77,74,Win
02-02-2013,Iona,Canisius,74,77,Loss
02-02-2013,Cent Arkansas,Nicholls St,79,76,Win
02-02-2013,Nicholls St,Cent Arkansas,76,79,Loss
02-02-2013,Charlotte,Massachusetts,66,65,Win
02-02-2013,Massachusetts,Charlotte,65,66,Loss
02-02-2013,Coastal Car,Radford,62,52,Win
02-02-2013,Radford,Coastal Car,52,62,Loss
02-02-2013,Col Charleston,UNC Greensboro,81,59,Win
02-02-2013,UNC Greensboro,Col Charleston,59,81,Loss
02-02-2013,Colgate,Holy Cross,63,45,Win
02-02-2013,Holy Cross,Colgate,45,63,Loss
02-02-2013,Colorado St,Wyoming,65,46,Win
02-02-2013,Wyoming,Colorado St,46,65,Loss
02-02-2013,Norfolk St,Coppin St,80,70,Win
02-02-2013,Coppin St,Norfolk St,70,80,Loss
02-02-2013,Creighton,Bradley,75,58,Win
02-02-2013,Bradley,Creighton,58,75,Loss
02-02-2013,CS Bakersfield,Utah Valley,75,62,Win
02-02-2013,Utah Valley,CS Bakersfield,62,75,Loss
02-02-2013,Hawaii,CS Fullerton,77,75,Win
02-02-2013,CS Fullerton,Hawaii,75,77,Loss
02-02-2013,Dartmouth,Yale,71,62,Win
02-02-2013,Yale,Dartmouth,62,71,Loss
02-02-2013,Delaware,UNC Wilmington,71,56,Win
02-02-2013,UNC Wilmington,Delaware,56,71,Loss
02-02-2013,NC Central,Delaware St,54,43,Win
02-02-2013,Delaware St,NC Central,43,54,Loss
02-02-2013,Notre Dame,DePaul,79,71,Win
02-02-2013,DePaul,Notre Dame,71,79,Loss
02-02-2013,Drake,Indiana St,74,71,Win
02-02-2013,Indiana St,Drake,71,74,Loss
02-02-2013,Montana,E Washington,65,46,Win
02-02-2013,E Washington,Montana,46,65,Loss
02-02-2013,Edwardsville,E Illinois,49,45,Win
02-02-2013,E Illinois,Edwardsville,45,49,Loss
02-02-2013,Elon,Samford,77,66,Win
02-02-2013,Samford,Elon,66,77,Loss
02-02-2013,ETSU,Lipscomb,90,88,Win
02-02-2013,Lipscomb,ETSU,88,90,Loss
02-02-2013,Central Conn,F Dickinson,80,71,Win
02-02-2013,F Dickinson,Central Conn,71,80,Loss
02-02-2013,Middle Tenn St,FL Atlantic,73,56,Win
02-02-2013,FL Atlantic,Middle Tenn St,56,73,Loss
02-02-2013,Florida,Mississippi,78,64,Win
02-02-2013,Mississippi,Florida,64,78,Loss
02-02-2013,Florida Intl,ULM,76,73,Win
02-02-2013,ULM,Florida Intl,73,76,Loss
02-02-2013,Duke,Florida St,79,60,Win
02-02-2013,Florida St,Duke,60,79,Loss
02-02-2013,Citadel,Furman,84,79,Win
02-02-2013,Furman,Citadel,79,84,Loss
02-02-2013,La Salle,G Washington,80,71,Win
02-02-2013,G Washington,La Salle,71,80,Loss
02-02-2013,Ga Southern,Chattanooga,59,57,Win
02-02-2013,Chattanooga,Ga Southern,57,59,Loss
02-02-2013,Gardner Webb,Longwood,76,65,Win
02-02-2013,Longwood,Gardner Webb,65,76,Loss
02-02-2013,Georgetown,St John's,68,56,Win
02-02-2013,St John's,Georgetown,56,68,Loss
02-02-2013,Georgia St,Old Dominion,83,63,Win
02-02-2013,Old Dominion,Georgia St,63,83,Loss
02-02-2013,Hartford,Boston Univ,66,58,Win
02-02-2013,Boston Univ,Hartford,58,66,Loss
02-02-2013,Harvard,Brown,89,82,Win
02-02-2013,Brown,Harvard,82,89,Loss
02-02-2013,High Point,Presbyterian,78,68,Win
02-02-2013,Presbyterian,High Point,68,78,Loss
02-02-2013,Houston Bap,NJIT,66,57,Win
02-02-2013,NJIT,Houston Bap,57,66,Loss
02-02-2013,Savannah St,Howard,52,42,Win
02-02-2013,Howard,Savannah St,42,52,Loss
02-02-2013,Idaho,San Jose St,66,63,Win
02-02-2013,San Jose St,Idaho,63,66,Loss
02-02-2013,Cleveland St,IL Chicago,77,66,Win
02-02-2013,IL Chicago,Cleveland St,66,77,Loss
02-02-2013,Illinois St,S Illinois,83,47,Win
02-02-2013,S Illinois,Illinois St,47,83,Loss
02-02-2013,Indiana,Michigan,81,73,Win
02-02-2013,Michigan,Indiana,73,81,Loss
02-02-2013,Iowa St,Baylor,79,71,Win
02-02-2013,Baylor,Iowa St,71,79,Loss
02-02-2013,W Illinois,IUPUI,68,59,Win
02-02-2013,IUPUI,W Illinois,59,68,Loss
02-02-2013,FL Gulf Coast,Jacksonville,81,78,Win
02-02-2013,Jacksonville,FL Gulf Coast,78,81,Loss
02-02-2013,Jacksonville St,Morehead St,70,59,Win
02-02-2013,Morehead St,Jacksonville St,59,70,Loss
02-02-2013,George Mason,James Madison,74,63,Win
02-02-2013,James Madison,George Mason,63,74,Loss
02-02-2013,Oklahoma St,Kansas,85,80,Win
02-02-2013,Kansas,Oklahoma St,80,85,Loss
02-02-2013,Kent,E Michigan,77,62,Win
02-02-2013,E Michigan,Kent,62,77,Loss
02-02-2013,SF Austin,Lamar,65,51,Win
02-02-2013,Lamar,SF Austin,51,65,Loss
02-02-2013,Long Beach St,Cal Poly SLO,50,48,Win
02-02-2013,Cal Poly SLO,Long Beach St,48,50,Loss
02-02-2013,Robert Morris,Long Island,60,57,Win
02-02-2013,Long Island,Robert Morris,57,60,Loss
02-02-2013,Louisiana Tech,UT Arlington,64,51,Win
02-02-2013,UT Arlington,Louisiana Tech,51,64,Loss
02-02-2013,WI Green Bay,Loyola-Chicago,73,65,Win
02-02-2013,Loyola-Chicago,WI Green Bay,65,73,Loss
02-02-2013,Marshall,UCF,75,71,Win
02-02-2013,UCF,Marshall,71,75,Loss
02-02-2013,Maryland,Wake Forest,86,60,Win
02-02-2013,Wake Forest,Maryland,60,86,Loss
02-02-2013,MD Baltimore Co,Maine,68,67,Win
02-02-2013,Maine,MD Baltimore Co,67,68,Loss
02-02-2013,NC A&T,MD E Shore,46,44,Win
02-02-2013,MD E Shore,NC A&T,44,46,Loss
02-02-2013,Memphis,Tulsa,94,64,Win
02-02-2013,Tulsa,Memphis,64,94,Loss
02-02-2013,LSU,Mississippi St,69,68,Win
02-02-2013,Mississippi St,LSU,68,69,Loss
02-02-2013,Missouri,Auburn,91,77,Win
02-02-2013,Auburn,Missouri,77,91,Loss
02-02-2013,Missouri St,Evansville,62,61,Win
02-02-2013,Evansville,Missouri St,61,62,Loss
02-02-2013,Bryant,Monmouth NJ,77,62,Win
02-02-2013,Monmouth NJ,Bryant,62,77,Loss
02-02-2013,Hampton,Morgan St,64,62,Win
02-02-2013,Morgan St,Hampton,62,64,Loss
02-02-2013,Mt St Mary's,Sacred Heart,91,82,Win
02-02-2013,Sacred Heart,Mt St Mary's,82,91,Loss
02-02-2013,Murray St,Austin Peay,75,68,Win
02-02-2013,Austin Peay,Murray St,68,75,Loss
02-02-2013,Weber St,N Colorado,85,64,Win
02-02-2013,N Colorado,Weber St,64,85,Loss
02-02-2013,N Dakota St,South Dakota,65,46,Win
02-02-2013,South Dakota,N Dakota St,46,65,Loss
02-02-2013,Toledo,N Illinois,69,64,Win
02-02-2013,N Illinois,Toledo,64,69,Loss
02-02-2013,Miami FL,NC State,79,78,Win
02-02-2013,NC State,Miami FL,78,79,Loss
02-02-2013,Oakland,NE Omaha,96,81,Win
02-02-2013,NE Omaha,Oakland,81,96,Loss
02-02-2013,Ohio St,Nebraska,63,56,Win
02-02-2013,Nebraska,Ohio St,56,63,Loss
02-02-2013,Stony Brook,New Hampshire,56,54,Win
02-02-2013,New Hampshire,Stony Brook,54,56,Loss
02-02-2013,New Mexico,Nevada,75,62,Win
02-02-2013,Nevada,New Mexico,62,75,Loss
02-02-2013,Loyola MD,Niagara,89,87,Win
02-02-2013,Niagara,Loyola MD,87,89,Loss
02-02-2013,North Carolina,Virginia Tech,72,60,Win
02-02-2013,Virginia Tech,North Carolina,60,72,Loss
02-02-2013,North Dakota,Idaho St,69,52,Win
02-02-2013,Idaho St,North Dakota,52,69,Loss
02-02-2013,North Florida,Stetson,64,59,Win
02-02-2013,Stetson,North Florida,59,64,Loss
02-02-2013,Northeastern,Drexel,59,52,Win
02-02-2013,Drexel,Northeastern,52,59,Loss
02-02-2013,Northern Iowa,Wichita St,57,52,Win
02-02-2013,Wichita St,Northern Iowa,52,57,Loss
02-02-2013,Northwestern,Purdue,75,60,Win
02-02-2013,Purdue,Northwestern,60,75,Loss
02-02-2013,Kansas St,Oklahoma,52,50,Win
02-02-2013,Oklahoma,Kansas St,50,52,Loss
02-02-2013,Oral Roberts,SE Louisiana,65,59,Win
02-02-2013,SE Louisiana,Oral Roberts,59,65,Loss
02-02-2013,Pacific,UC Davis,77,64,Win
02-02-2013,UC Davis,Pacific,64,77,Loss
02-02-2013,Cornell,Penn,71,69,Win
02-02-2013,Penn,Cornell,69,71,Loss
02-02-2013,San Francisco,Pepperdine,86,78,Win
02-02-2013,Pepperdine,San Francisco,78,86,Loss
02-02-2013,Pittsburgh,Syracuse,65,55,Win
02-02-2013,Syracuse,Pittsburgh,55,65,Loss
02-02-2013,Montana St,Portland St,70,64,Win
02-02-2013,Portland St,Montana St,64,70,Loss
02-02-2013,Princeton,Columbia,72,66,Win
02-02-2013,Columbia,Princeton,66,72,Loss
02-02-2013,East Carolina,Rice,79,63,Win
02-02-2013,Rice,East Carolina,63,79,Loss
02-02-2013,Richmond,Xavier,73,71,Win
02-02-2013,Xavier,Richmond,71,73,Loss
02-02-2013,S Dakota St,Missouri KC,88,57,Win
02-02-2013,Missouri KC,S Dakota St,57,88,Loss
02-02-2013,Gonzaga,San Diego,65,63,Win
02-02-2013,San Diego,Gonzaga,63,65,Loss
02-02-2013,N Kentucky,SC Upstate,70,65,Win
02-02-2013,SC Upstate,N Kentucky,65,70,Loss
02-02-2013,E Kentucky,SE Missouri St,81,72,Win
02-02-2013,SE Missouri St,E Kentucky,72,81,Loss
02-02-2013,Utah St,Seattle,68,46,Win
02-02-2013,Seattle,Utah St,46,68,Loss
02-02-2013,Cincinnati,Seton Hall,65,59,Win
02-02-2013,Seton Hall,Cincinnati,59,65,Loss
02-02-2013,Houston,SMU,84,80,Win
02-02-2013,SMU,Houston,80,84,Loss
02-02-2013,Georgia,South Carolina,67,56,Win
02-02-2013,South Carolina,Georgia,56,67,Loss
02-02-2013,Southern Univ,Grambling,59,31,Win
02-02-2013,Grambling,Southern Univ,31,59,Loss
02-02-2013,Southern Utah,Northern Arizona,78,67,Win
02-02-2013,Northern Arizona,Southern Utah,67,78,Loss
02-02-2013,St Bonaventure,Duquesne,68,60,Win
02-02-2013,Duquesne,St Bonaventure,60,68,Loss
02-02-2013,St Francis PA,St Francis NY,64,61,Win
02-02-2013,St Francis NY,St Francis PA,61,64,Loss
02-02-2013,St Joseph's PA,Temple,70,69,Win
02-02-2013,Temple,St Joseph's PA,69,70,Loss
02-02-2013,St Louis,Dayton,81,52,Win
02-02-2013,Dayton,St Louis,52,81,Loss
02-02-2013,St Mary's CA,Portland,77,42,Win
02-02-2013,Portland,St Mary's CA,42,77,Loss
02-02-2013,Sam Houston St,TAM C. Christi,55,51,Win
02-02-2013,TAM C. Christi,Sam Houston St,51,55,Loss
02-02-2013,Texas,TCU,60,43,Win
02-02-2013,TCU,Texas,43,60,Loss
02-02-2013,Kentucky,Texas A&M,72,68,Win
02-02-2013,Texas A&M,Kentucky,68,72,Loss
02-02-2013,Denver,Texas St,79,64,Win
02-02-2013,Texas St,Denver,64,79,Loss
02-02-2013,West Virginia,Texas Tech,77,61,Win
02-02-2013,Texas Tech,West Virginia,61,77,Loss
02-02-2013,Troy,ULL,71,52,Win
02-02-2013,ULL,Troy,52,71,Loss
02-02-2013,TX Pan American,Chicago St,68,65,Win
02-02-2013,Chicago St,TX Pan American,65,68,Loss
02-02-2013,TX Southern,Prairie View,84,48,Win
02-02-2013,Prairie View,TX Southern,48,84,Loss
02-02-2013,Southern Miss,UAB,79,75,Win
02-02-2013,UAB,Southern Miss,75,79,Loss
02-02-2013,UC Irvine,Santa Barbara,62,60,Win
02-02-2013,Santa Barbara,UC Irvine,60,62,Loss
02-02-2013,CS Northridge,UC Riverside,69,53,Win
02-02-2013,UC Riverside,CS Northridge,53,69,Loss
02-02-2013,New Mexico St,UT San Antonio,75,62,Win
02-02-2013,UT San Antonio,New Mexico St,62,75,Loss
02-02-2013,Utah,Colorado,58,55,Win
02-02-2013,Colorado,Utah,55,58,Loss
02-02-2013,UTEP,Tulane,62,50,Win
02-02-2013,Tulane,UTEP,50,62,Loss
02-02-2013,VA Commonwealth,Fordham,81,65,Win
02-02-2013,Fordham,VA Commonwealth,65,81,Loss
02-02-2013,Alabama,Vanderbilt,58,54,Win
02-02-2013,Vanderbilt,Alabama,54,58,Loss
02-02-2013,W Michigan,Buffalo,71,60,Win
02-02-2013,Buffalo,W Michigan,60,71,Loss
02-02-2013,Quinnipiac,Wagner,74,69,Win
02-02-2013,Wagner,Quinnipiac,69,74,Loss
02-02-2013,Washington,Arizona St,96,92,Win
02-02-2013,Arizona St,Washington,92,96,Loss
02-02-2013,Arizona,Washington St,79,65,Win
02-02-2013,Washington St,Arizona,65,79,Loss
02-02-2013,William & Mary,Hofstra,72,59,Win
02-02-2013,Hofstra,William & Mary,59,72,Loss
02-02-2013,Winthrop,Liberty,66,56,Win
02-02-2013,Liberty,Winthrop,56,66,Loss
02-02-2013,Davidson,Wofford,68,57,Win
02-02-2013,Wofford,Davidson,57,68,Loss
01-02-2013,Brown,Dartmouth,62,50,Win
01-02-2013,Dartmouth,Brown,50,62,Loss
01-02-2013,Detroit,Youngstown St,88,77,Win
01-02-2013,Youngstown St,Detroit,77,88,Loss
01-02-2013,Fairfield,Rider,69,59,Win
01-02-2013,Rider,Fairfield,59,69,Loss
01-02-2013,Harvard,Yale,67,64,Win
01-02-2013,Yale,Harvard,64,67,Loss
01-02-2013,Mercer,Kennesaw,66,42,Win
01-02-2013,Kennesaw,Mercer,42,66,Loss
01-02-2013,Penn,Columbia,62,58,Win
01-02-2013,Columbia,Penn,58,62,Loss
01-02-2013,Princeton,Cornell,76,59,Win
01-02-2013,Cornell,Princeton,59,76,Loss
01-02-2013,Siena,Manhattan,66,63,Win
01-02-2013,Manhattan,Siena,63,66,Loss
01-02-2013,Valparaiso,WI Milwaukee,71,40,Win
01-02-2013,WI Milwaukee,Valparaiso,40,71,Loss
31-01-2013,Alabama,Arkansas,59,56,Win
31-01-2013,Arkansas,Alabama,56,59,Loss
31-01-2013,Arkansas St,South Alabama,74,62,Win
31-01-2013,South Alabama,Arkansas St,62,74,Loss
31-01-2013,Belmont,Morehead St,93,74,Win
31-01-2013,Morehead St,Belmont,74,93,Loss
31-01-2013,California,Oregon St,71,68,Win
31-01-2013,Oregon St,California,68,71,Loss
31-01-2013,Canisius,Loyola MD,91,79,Win
31-01-2013,Loyola MD,Canisius,79,91,Loss
